,unsafe_control_action_0,unsafe_control_action_1,equality
262,BSCU Disarm command is issued before landing completion [H-2],Autobrake disengages prematurely during emergency braking [H-3],False
263,BSCU engages Autobrake mode during normal taxi [H-3],BSCU Disarm command is issued before landing completion [H-2],False
264,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],Hydraulic system disengages prematurely [H-2],False
265,Autobrake deceleration rate set incorrectly [H-1],Flight Crew neglects reverse thrust check during systems test [H-6],False
266,Flight Crew does not engage Steering control during taxi [H-3],BSCU Disarm command is issued before landing completion [H-2],False
267,BSCU engages Autobrake mode during normal taxi [H-3],Flight Crew enters Manual control state too late after Autobrake failure [H-3],True
268,"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",Hydraulic system disengages prematurely [H-2],False
269,Hydraulic Controller opens valves too early before receiving Brake command [H-3],Flight Crew omits BSCU mode check during pre-flight [H-1],False
270,BSCU power does not turn off during system fault [H-2],Other subsystems receive erroneous Manual Controls causing hazard [H-6],False
271,Autobrake Controller stops providing Brake command too early during landing [H-3],Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],True
272,Autobrake Controller provides Brake command during takeoff roll [H-3],Wheel Brakes maintain full pressure post-stop [H-2],True
273,Flight Crew maintains Manual control state unnecessarily long [H-2],Wheel Brakes provide inconsistent braking power [H-3],False
274,Flight Crew omits BSCU mode check during pre-flight [H-1],Autobrake deceleration rate set incorrectly [H-1],False
275,Autobrake Controller provides Brake command during takeoff roll [H-3],Brake System Control Unit switches to alternate mode without necessity [H-2],False
276,BSCU power does not turn off during system fault [H-2],Flight Crew engages Steering control during high-speed approach [H-6],False
277,BSCU provides Arm and Set command prematurely before required conditions [H-1],Hydraulic Controller closes valves during critical braking [H-3],True
278,Flight Crew does not engage Steering control during taxi [H-3],Flight Crew neglects reverse thrust check during systems test [H-6],False
279,Wheel Brakes maintain full pressure post-stop [H-2],Other subsystems trigger erroneous state transition [H-6],False
280,BSCU provides Arm and Set command prematurely before required conditions [H-1],Flight Crew engages Steering control during high-speed approach [H-6],False
281,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],Manual Braking State not entered after system fault detection [H-6],True
282,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],BSCU provides Arm and Set command prematurely before required conditions [H-1],False
283,Flight Crew enters Manual control state too late after Autobrake failure [H-3],Hydraulic Controller provides excessive pressure to brakes [H-3],False
284,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],Brake System Control Unit switches to alternate mode without necessity [H-2],False
285,Wheels do not provide feedback for Wheel Speed [H-6],Flight Crew applies reverse thrust out of sequence [H-6],False
286,Hydraulic Controller opens valves too early before receiving Brake command [H-3],BSCU fault falsely triggers emergency protocol [H-2],False
287,Flight Crew applies Reverse thrust during normal landing [H-2],Hydraulic Controller provides excessive pressure to brakes [H-3],False
288,Autobrake Controller stops providing Brake command too early during landing [H-3],BSCU provides Arm and Set command prematurely before required conditions [H-1],False
289,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],BSCU triggers Brake too early upon detecting turbulence [H-6],True
290,Autobrake Controller does not provide Brake command during emergency landing [H-3],Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],True
291,BSCU triggers Brake too late after turbulence passes [H-6],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",True
292,Flight Crew conducts BSCU mode change mid-flight [H-1],Other subsystems trigger erroneous state transition [H-6],False
293,BSCU provides Arm and Set command too late for takeoff roll [H-1],BSCU fault signal ignored during landing [H-2],False
294,Brake System Control Unit switches to alternate mode without necessity [H-2],BSCU Disarm command is issued before landing completion [H-2],True
295,Other subsystems do not receive Manual Controls from Flight Crew [H-6],Wheels do not provide feedback for Wheel Speed [H-6],True
296,Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],Flight Crew does not engage Steering control during taxi [H-3],False
297,Autobrake Controller does not provide Brake command during emergency landing [H-3],Autobrake deceleration rate change too late for necessary correction [H-1],False
298,BSCU provides Arm and Set command too late for takeoff roll [H-1],Flight Crew enters Manual control state too late after Autobrake failure [H-3],False
299,Manual Braking State not entered after system fault detection [H-6],Hydraulic system disengages prematurely [H-2],False
300,Brake System Control Unit switches to alternate mode without necessity [H-2],Hydraulic Controller provides excessive pressure to brakes [H-3],False
301,Autobrake Controller provides Brake command during takeoff roll [H-3],Flight Crew conducts BSCU mode change mid-flight [H-1],False
302,Autobrake disengages prematurely during emergency braking [H-3],Hydraulic system disengages prematurely [H-2],True
303,Flight Crew engages Steering control during high-speed approach [H-6],Wheel Brakes provide inconsistent braking power [H-3],False
304,Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],Wheels do not provide feedback for Wheel Speed [H-6],False
305,BSCU fault falsely triggers emergency protocol [H-2],Hydraulic system remains engaged after command ends [H-3],False
306,Autobrake Controller provides Brake command during takeoff roll [H-3],Autobrake Controller stops providing Brake command too early during landing [H-3],False
307,Autobrake Controller does not provide Brake command during emergency landing [H-3],BSCU triggers Brake too late after turbulence passes [H-6],False
308,Autobrake disengages prematurely during emergency braking [H-3],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",True
309,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],Flight Crew omits BSCU mode check during pre-flight [H-1],True
310,BSCU Disarm command is not issued upon successful landing [H-2],Autobrake deceleration rate set incorrectly [H-1],False
311,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],BSCU power turns off during normal operation [H-2],False
312,Wheels provide inaccurate Wheel Speed data [H-6],Flight Crew engages Steering control during high-speed approach [H-6],False
313,BSCU does not engage Autobrake mode when required [H-1],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",False
314,BSCU power does not turn off during system fault [H-2],Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],False
315,Hydraulic Controller opens valves too early before receiving Brake command [H-3],BSCU triggers Brake too early upon detecting turbulence [H-6],False
316,Flight Crew enters Manual control state too late after Autobrake failure [H-3],Manual Braking State not entered after system fault detection [H-6],True
317,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],Wheels provide inaccurate Wheel Speed data [H-6],False
318,BSCU Disarm command is not issued upon successful landing [H-2],Hydraulic system remains engaged after command ends [H-3],False
319,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],Hydraulic Controller provides excessive pressure to brakes [H-3],False
320,BSCU provides Arm and Set command too late for takeoff roll [H-1],Autobrake deceleration rate set incorrectly [H-1],True
321,BSCU does not engage Autobrake mode when required [H-1],Hydraulic Controller provides excessive pressure to brakes [H-3],False
322,Other subsystems receive erroneous Manual Controls causing hazard [H-6],Wheels provide inaccurate Wheel Speed data [H-6],False
323,BSCU Disarm command is issued before landing completion [H-2],Autobrake engages without command during manual operation [H-2],False
324,Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],Wheel Brakes maintain full pressure post-stop [H-2],False
325,Other subsystems fail to revert to safe state post-anomaly [H-6],Flight Crew neglects reverse thrust check during systems test [H-6],False
326,Autobrake Controller stops providing Brake command too early during landing [H-3],BSCU power does not turn off during system fault [H-2],False
327,Flight Crew does not engage Steering control during taxi [H-3],BSCU triggers Brake too late after turbulence passes [H-6],False
328,Autobrake Controller provides Brake command during takeoff roll [H-3],Hydraulic Controller fails to provide adequate pressure [H-3],True
329,Brake System Control Unit switches to alternate mode without necessity [H-2],Hydraulic system disengages prematurely [H-2],True
330,BSCU provides Arm and Set command prematurely before required conditions [H-1],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",False
331,BSCU provides Arm and Set command prematurely before required conditions [H-1],Flight Crew does not utilize Reverse thrust on slippery runway [H-1],False
332,BSCU provides Arm and Set command too late for takeoff roll [H-1],Flight Crew engages Steering control during high-speed approach [H-6],False
333,Autobrake Controller does not provide Brake command during emergency landing [H-3],Autobrake deceleration rate set incorrectly [H-1],True
334,Flight Crew maintains Manual control state unnecessarily long [H-2],Wheel Brakes maintain full pressure post-stop [H-2],False
335,BSCU does not engage Autobrake mode when required [H-1],Wheels do not provide feedback for Wheel Speed [H-6],False
336,Autobrake Controller does not provide Brake command during emergency landing [H-3],Autobrake engages without command during manual operation [H-2],False
337,Wheel Brakes provide inconsistent braking power [H-3],Autobrake deceleration rate set incorrectly [H-1],False
338,Other subsystems do not receive Manual Controls from Flight Crew [H-6],Other subsystems receive erroneous Manual Controls causing hazard [H-6],True
339,Hydraulic Controller does not open valves during Autobrake mode [H-3],Flight Crew does not engage Steering control during taxi [H-3],False
340,Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],Autobrake disengages prematurely during emergency braking [H-3],True
341,Hydraulic Controller does not open valves during Autobrake mode [H-3],BSCU power turns off during normal operation [H-2],False
342,Flight Crew omits BSCU mode check during pre-flight [H-1],Manual Braking State not entered after system fault detection [H-6],False
343,Hydraulic Controller opens valves too early before receiving Brake command [H-3],Autobrake engages without command during manual operation [H-2],False
344,BSCU engages Autobrake mode during normal taxi [H-3],BSCU power turns off during normal operation [H-2],False
345,Hydraulic Controller closes valves during critical braking [H-3],Flight Crew omits BSCU mode check during pre-flight [H-1],True
346,Autobrake disengages prematurely during emergency braking [H-3],Autobrake deceleration rate change too late for necessary correction [H-1],False
347,BSCU triggers Brake too late after turbulence passes [H-6],Flight Crew omits BSCU mode check during pre-flight [H-1],False
348,Flight Crew maintains Manual control state unnecessarily long [H-2],Other subsystems receive erroneous Manual Controls causing hazard [H-6],False
349,Wheels provide inaccurate Wheel Speed data [H-6],Other subsystems fail to revert to safe state post-anomaly [H-6],True
350,Flight Crew enters Manual control state too late after Autobrake failure [H-3],Wheel Brakes provide inconsistent braking power [H-3],True
351,BSCU fault signal ignored during landing [H-2],Hydraulic system remains engaged after command ends [H-3],False
352,Brake System Control Unit switches to alternate mode without necessity [H-2],Wheel Brakes maintain full pressure post-stop [H-2],False
353,Autobrake Controller stops providing Brake command too early during landing [H-3],Flight Crew applies Reverse thrust during normal landing [H-2],False
354,Brake System Control Unit does not switch to alternate braking mode when required [H-3],BSCU fault signal ignored during landing [H-2],True
355,Hydraulic Controller provides excessive pressure to brakes [H-3],Flight Crew conducts BSCU mode change mid-flight [H-1],False
356,Autobrake engages without command during manual operation [H-2],Autobrake deceleration rate change too late for necessary correction [H-1],False
357,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],Other subsystems fail to revert to safe state post-anomaly [H-6],False
358,BSCU triggers Brake too early upon detecting turbulence [H-6],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",True
359,Other subsystems receive erroneous Manual Controls causing hazard [H-6],BSCU fault signal ignored during landing [H-2],False
360,Autobrake Controller does not provide Brake command during emergency landing [H-3],Flight Crew does not utilize Reverse thrust on slippery runway [H-1],False
361,Hydraulic Controller closes valves during critical braking [H-3],Brake System Control Unit switches to alternate mode without necessity [H-2],False
362,Autobrake Controller provides Brake command during takeoff roll [H-3],Hydraulic system remains engaged after command ends [H-3],True
363,Autobrake Controller stops providing Brake command too early during landing [H-3],Hydraulic system remains engaged after command ends [H-3],False
364,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],Flight Crew does not engage Steering control during taxi [H-3],False
365,BSCU power does not turn off during system fault [H-2],Wheel Brakes provide inconsistent braking power [H-3],False
366,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],BSCU engages Autobrake mode during normal taxi [H-3],False
367,Hydraulic Controller does not open valves during Autobrake mode [H-3],Flight Crew neglects reverse thrust check during systems test [H-6],False
368,Autobrake Controller stops providing Brake command too early during landing [H-3],BSCU does not engage Autobrake mode when required [H-1],False
369,Autobrake disengages prematurely during emergency braking [H-3],Autobrake deceleration rate set incorrectly [H-1],False
370,Wheels provide inaccurate Wheel Speed data [H-6],Autobrake disengages prematurely during emergency braking [H-3],False
371,BSCU provides Arm and Set command too late for takeoff roll [H-1],Hydraulic Controller fails to provide adequate pressure [H-3],False
372,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],BSCU power does not turn off during system fault [H-2],False
373,Hydraulic Controller opens valves too early before receiving Brake command [H-3],Other subsystems fail to revert to safe state post-anomaly [H-6],False
374,Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],Manual Braking State not entered after system fault detection [H-6],False
375,Brake System Control Unit switches to alternate mode without necessity [H-2],Autobrake deceleration rate change too late for necessary correction [H-1],False
376,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],BSCU Disarm command is issued before landing completion [H-2],False
377,Wheels provide inaccurate Wheel Speed data [H-6],Hydraulic system disengages prematurely [H-2],False
378,Wheel Brakes maintain full pressure post-stop [H-2],Hydraulic system remains engaged after command ends [H-3],False
379,BSCU engages Autobrake mode during normal taxi [H-3],Hydraulic system disengages prematurely [H-2],False
380,Flight Crew enters Manual control state too late after Autobrake failure [H-3],Wheels do not provide feedback for Wheel Speed [H-6],False
381,Flight Crew engages Steering control during high-speed approach [H-6],BSCU triggers Brake too early upon detecting turbulence [H-6],False
382,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],BSCU does not engage Autobrake mode when required [H-1],False
383,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],Hydraulic Controller closes valves during critical braking [H-3],False
384,BSCU power does not turn off during system fault [H-2],Autobrake deceleration rate change too late for necessary correction [H-1],False
385,Other subsystems do not receive Manual Controls from Flight Crew [H-6],Hydraulic Controller provides excessive pressure to brakes [H-3],False
386,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],Autobrake engages without command during manual operation [H-2],False
387,Wheels provide inaccurate Wheel Speed data [H-6],BSCU triggers Brake too late after turbulence passes [H-6],False
388,Hydraulic Controller opens valves too early before receiving Brake command [H-3],Autobrake disengages prematurely during emergency braking [H-3],True
389,BSCU does not engage Autobrake mode when required [H-1],Other subsystems trigger erroneous state transition [H-6],True
390,Hydraulic Controller does not open valves during Autobrake mode [H-3],Autobrake deceleration rate set incorrectly [H-1],False
391,BSCU power does not turn off during system fault [H-2],BSCU triggers Brake too late after turbulence passes [H-6],False
392,BSCU Disarm command is not issued upon successful landing [H-2],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",False
393,Hydraulic Controller closes valves during critical braking [H-3],Wheel Brakes provide inconsistent braking power [H-3],True
394,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],BSCU Disarm command is not issued upon successful landing [H-2],False
395,Flight Crew conducts BSCU mode change mid-flight [H-1],Autobrake deceleration rate change too late for necessary correction [H-1],True
396,Autobrake Controller stops providing Brake command too early during landing [H-3],Wheel Brakes provide inconsistent braking power [H-3],True
397,BSCU Disarm command is not issued upon successful landing [H-2],BSCU fault falsely triggers emergency protocol [H-2],True
398,Autobrake deceleration rate change too late for necessary correction [H-1],Other subsystems fail to revert to safe state post-anomaly [H-6],False
399,Wheels do not provide feedback for Wheel Speed [H-6],Brake System Control Unit switches to alternate mode without necessity [H-2],False
400,Autobrake Controller stops providing Brake command too early during landing [H-3],Flight Crew neglects reverse thrust check during systems test [H-6],False
401,BSCU provides Arm and Set command too late for takeoff roll [H-1],Brake System Control Unit switches to alternate mode without necessity [H-2],False
402,Autobrake engages without command during manual operation [H-2],Hydraulic system remains engaged after command ends [H-3],False
403,Flight Crew does not engage Steering control during taxi [H-3],BSCU triggers Brake too early upon detecting turbulence [H-6],False
404,BSCU Disarm command is issued before landing completion [H-2],Hydraulic system remains engaged after command ends [H-3],False
405,BSCU provides Arm and Set command prematurely before required conditions [H-1],Manual Braking State not entered after system fault detection [H-6],False
406,BSCU does not engage Autobrake mode when required [H-1],Flight Crew does not engage Steering control during taxi [H-3],False
407,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],Other subsystems receive erroneous Manual Controls causing hazard [H-6],False
408,BSCU power turns off during normal operation [H-2],Other subsystems receive erroneous Manual Controls causing hazard [H-6],False
409,Wheel Brakes maintain full pressure post-stop [H-2],Autobrake deceleration rate change too late for necessary correction [H-1],False
410,Flight Crew does not engage Steering control during taxi [H-3],Other subsystems fail to revert to safe state post-anomaly [H-6],False
411,Brake System Control Unit does not switch to alternate braking mode when required [H-3],BSCU triggers Brake too early upon detecting turbulence [H-6],False
412,Hydraulic Controller does not open valves during Autobrake mode [H-3],BSCU triggers Brake too late after turbulence passes [H-6],False
413,BSCU engages Autobrake mode during normal taxi [H-3],Flight Crew does not engage Steering control during taxi [H-3],False
414,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],Flight Crew applies Reverse thrust during normal landing [H-2],False
415,Flight Crew omits BSCU mode check during pre-flight [H-1],Flight Crew applies reverse thrust out of sequence [H-6],False
416,BSCU engages Autobrake mode during normal taxi [H-3],Hydraulic Controller closes valves during critical braking [H-3],True
417,Flight Crew omits BSCU mode check during pre-flight [H-1],BSCU fault signal ignored during landing [H-2],True
418,Hydraulic Controller does not open valves during Autobrake mode [H-3],Autobrake disengages prematurely during emergency braking [H-3],True
419,Other subsystems do not receive Manual Controls from Flight Crew [H-6],Hydraulic system disengages prematurely [H-2],False
420,Wheels do not provide feedback for Wheel Speed [H-6],Wheel Brakes provide inconsistent braking power [H-3],False
421,BSCU triggers Brake too early upon detecting turbulence [H-6],Autobrake deceleration rate set incorrectly [H-1],False
422,Flight Crew does not engage Steering control during taxi [H-3],BSCU Disarm command is not issued upon successful landing [H-2],False
423,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],Hydraulic Controller opens valves too early before receiving Brake command [H-3],False
424,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],Hydraulic Controller fails to provide adequate pressure [H-3],True
425,BSCU triggers Brake too early upon detecting turbulence [H-6],Flight Crew applies reverse thrust out of sequence [H-6],True
426,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],Autobrake Controller stops providing Brake command too early during landing [H-3],False
427,BSCU engages Autobrake mode during normal taxi [H-3],Autobrake disengages prematurely during emergency braking [H-3],True
428,Hydraulic Controller fails to provide adequate pressure [H-3],BSCU fault signal ignored during landing [H-2],False
429,Wheel Brakes provide inconsistent braking power [H-3],Hydraulic system disengages prematurely [H-2],False
430,Hydraulic Controller closes valves during critical braking [H-3],BSCU Disarm command is not issued upon successful landing [H-2],True
431,BSCU fault signal ignored during landing [H-2],Flight Crew applies reverse thrust out of sequence [H-6],False
432,Hydraulic Controller opens valves too early before receiving Brake command [H-3],Autobrake deceleration rate change too late for necessary correction [H-1],False
433,Hydraulic Controller provides excessive pressure to brakes [H-3],Other subsystems fail to revert to safe state post-anomaly [H-6],True
434,BSCU Disarm command is issued before landing completion [H-2],Autobrake deceleration rate change too late for necessary correction [H-1],False
435,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],Autobrake deceleration rate set incorrectly [H-1],False
436,BSCU Disarm command is not issued upon successful landing [H-2],Hydraulic Controller provides excessive pressure to brakes [H-3],False
437,Wheels do not provide feedback for Wheel Speed [H-6],Flight Crew engages Steering control during high-speed approach [H-6],True
438,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],Hydraulic Controller closes valves during critical braking [H-3],True
439,BSCU power does not turn off during system fault [H-2],Wheel Brakes maintain full pressure post-stop [H-2],False
440,Autobrake deceleration rate change too late for necessary correction [H-1],BSCU fault falsely triggers emergency protocol [H-2],False
441,Wheels do not provide feedback for Wheel Speed [H-6],Brake System Control Unit does not switch to alternate braking mode when required [H-3],False
442,Flight Crew maintains Manual control state unnecessarily long [H-2],Autobrake deceleration rate set incorrectly [H-1],True
443,Hydraulic Controller does not open valves during Autobrake mode [H-3],BSCU Disarm command is issued before landing completion [H-2],False
444,BSCU triggers Brake too early upon detecting turbulence [H-6],Other subsystems fail to revert to safe state post-anomaly [H-6],True
445,Autobrake Controller stops providing Brake command too early during landing [H-3],Flight Crew omits BSCU mode check during pre-flight [H-1],False
446,BSCU Disarm command is not issued upon successful landing [H-2],Autobrake deceleration rate change too late for necessary correction [H-1],False
447,BSCU provides Arm and Set command prematurely before required conditions [H-1],Hydraulic Controller provides excessive pressure to brakes [H-3],False
448,BSCU Disarm command is issued before landing completion [H-2],Hydraulic system disengages prematurely [H-2],True
449,Flight Crew engages Steering control during high-speed approach [H-6],BSCU triggers Brake too late after turbulence passes [H-6],False
450,BSCU engages Autobrake mode during normal taxi [H-3],Flight Crew does not utilize Reverse thrust on slippery runway [H-1],False
451,Wheels provide inaccurate Wheel Speed data [H-6],Flight Crew applies reverse thrust out of sequence [H-6],False
452,BSCU power does not turn off during system fault [H-2],Brake System Control Unit switches to alternate mode without necessity [H-2],False
453,BSCU power turns off during normal operation [H-2],Wheels provide inaccurate Wheel Speed data [H-6],False
454,BSCU triggers Brake too early upon detecting turbulence [H-6],Other subsystems trigger erroneous state transition [H-6],True
455,Autobrake deceleration rate change too late for necessary correction [H-1],Hydraulic system remains engaged after command ends [H-3],False
456,Autobrake Controller does not provide Brake command during emergency landing [H-3],Hydraulic system disengages prematurely [H-2],True
457,Other subsystems do not receive Manual Controls from Flight Crew [H-6],Autobrake deceleration rate change too late for necessary correction [H-1],False
458,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],BSCU triggers Brake too late after turbulence passes [H-6],False
459,Hydraulic Controller closes valves during critical braking [H-3],Flight Crew neglects reverse thrust check during systems test [H-6],False
460,Wheels provide inaccurate Wheel Speed data [H-6],Autobrake engages without command during manual operation [H-2],False
461,Flight Crew does not engage Steering control during taxi [H-3],Autobrake deceleration rate change too late for necessary correction [H-1],False
462,BSCU Disarm command is not issued upon successful landing [H-2],Autobrake disengages prematurely during emergency braking [H-3],False
463,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],Other subsystems receive erroneous Manual Controls causing hazard [H-6],False
464,Wheels do not provide feedback for Wheel Speed [H-6],Flight Crew does not engage Steering control during taxi [H-3],False
465,Hydraulic Controller does not open valves during Autobrake mode [H-3],Other subsystems receive erroneous Manual Controls causing hazard [H-6],False
466,BSCU engages Autobrake mode during normal taxi [H-3],Flight Crew applies Reverse thrust during normal landing [H-2],False
467,BSCU triggers Brake too late after turbulence passes [H-6],Wheel Brakes provide inconsistent braking power [H-3],False
468,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",False
469,BSCU engages Autobrake mode during normal taxi [H-3],Other subsystems fail to revert to safe state post-anomaly [H-6],False
470,Autobrake deceleration rate set incorrectly [H-1],Hydraulic system disengages prematurely [H-2],False
471,Wheel Brakes provide inconsistent braking power [H-3],Autobrake deceleration rate change too late for necessary correction [H-1],False
472,Hydraulic Controller opens valves too early before receiving Brake command [H-3],BSCU power does not turn off during system fault [H-2],False
473,Autobrake deceleration rate set incorrectly [H-1],BSCU fault falsely triggers emergency protocol [H-2],True
474,Other subsystems do not receive Manual Controls from Flight Crew [H-6],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",True
475,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],Wheels do not provide feedback for Wheel Speed [H-6],False
476,Autobrake Controller provides Brake command during takeoff roll [H-3],BSCU fault falsely triggers emergency protocol [H-2],True
477,Hydraulic Controller fails to provide adequate pressure [H-3],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",False
478,Autobrake Controller provides Brake command during takeoff roll [H-3],BSCU triggers Brake too late after turbulence passes [H-6],False
479,Wheels do not provide feedback for Wheel Speed [H-6],Flight Crew omits BSCU mode check during pre-flight [H-1],False
480,BSCU engages Autobrake mode during normal taxi [H-3],BSCU provides Arm and Set command too late for takeoff roll [H-1],False
481,Hydraulic Controller closes valves during critical braking [H-3],Other subsystems receive erroneous Manual Controls causing hazard [H-6],False
482,Flight Crew engages Steering control during high-speed approach [H-6],Brake System Control Unit does not switch to alternate braking mode when required [H-3],False
483,BSCU provides Arm and Set command prematurely before required conditions [H-1],Flight Crew maintains Manual control state unnecessarily long [H-2],False
484,Autobrake Controller stops providing Brake command too early during landing [H-3],Hydraulic system disengages prematurely [H-2],True
485,BSCU does not engage Autobrake mode when required [H-1],Wheel Brakes provide inconsistent braking power [H-3],True
486,BSCU fault falsely triggers emergency protocol [H-2],Other subsystems trigger erroneous state transition [H-6],True
487,Flight Crew omits BSCU mode check during pre-flight [H-1],Other subsystems fail to revert to safe state post-anomaly [H-6],False
488,Other subsystems receive erroneous Manual Controls causing hazard [H-6],Other subsystems fail to revert to safe state post-anomaly [H-6],True
489,Brake System Control Unit switches to alternate mode without necessity [H-2],Flight Crew omits BSCU mode check during pre-flight [H-1],True
490,Flight Crew applies Reverse thrust during normal landing [H-2],Autobrake deceleration rate change too late for necessary correction [H-1],False
491,Hydraulic Controller opens valves too early before receiving Brake command [H-3],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",False
492,Autobrake Controller stops providing Brake command too early during landing [H-3],Autobrake engages without command during manual operation [H-2],False
493,BSCU provides Arm and Set command prematurely before required conditions [H-1],Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],False
494,BSCU engages Autobrake mode during normal taxi [H-3],BSCU triggers Brake too early upon detecting turbulence [H-6],False
495,Autobrake Controller does not provide Brake command during emergency landing [H-3],Wheel Brakes provide inconsistent braking power [H-3],True
496,"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",BSCU fault falsely triggers emergency protocol [H-2],False
497,Brake System Control Unit does not switch to alternate braking mode when required [H-3],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",False
498,Autobrake deceleration rate change too late for necessary correction [H-1],Flight Crew neglects reverse thrust check during systems test [H-6],False
499,BSCU engages Autobrake mode during normal taxi [H-3],BSCU fault falsely triggers emergency protocol [H-2],False
500,Autobrake Controller stops providing Brake command too early during landing [H-3],Wheel Brakes maintain full pressure post-stop [H-2],False
501,Autobrake Controller does not provide Brake command during emergency landing [H-3],Flight Crew does not engage Steering control during taxi [H-3],False
502,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],Hydraulic system disengages prematurely [H-2],False
503,BSCU provides Arm and Set command too late for takeoff roll [H-1],Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],False
504,Flight Crew maintains Manual control state unnecessarily long [H-2],BSCU triggers Brake too late after turbulence passes [H-6],True
505,Flight Crew conducts BSCU mode change mid-flight [H-1],Wheel Brakes provide inconsistent braking power [H-3],False
506,Hydraulic system remains engaged after command ends [H-3],Other subsystems trigger erroneous state transition [H-6],False
507,Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],BSCU triggers Brake too early upon detecting turbulence [H-6],False
508,Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],Wheel Brakes provide inconsistent braking power [H-3],True
509,Wheel Brakes maintain full pressure post-stop [H-2],Flight Crew neglects reverse thrust check during systems test [H-6],False
510,BSCU power does not turn off during system fault [H-2],Flight Crew conducts BSCU mode change mid-flight [H-1],False
511,Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],Other subsystems do not receive Manual Controls from Flight Crew [H-6],False
512,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],Flight Crew enters Manual control state too late after Autobrake failure [H-3],True
513,BSCU engages Autobrake mode during normal taxi [H-3],Other subsystems receive erroneous Manual Controls causing hazard [H-6],False
514,Wheels provide inaccurate Wheel Speed data [H-6],Brake System Control Unit switches to alternate mode without necessity [H-2],False
515,Flight Crew omits BSCU mode check during pre-flight [H-1],Autobrake disengages prematurely during emergency braking [H-3],False
516,Flight Crew applies Reverse thrust during normal landing [H-2],Flight Crew maintains Manual control state unnecessarily long [H-2],False
517,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],Hydraulic Controller fails to provide adequate pressure [H-3],False
518,BSCU provides Arm and Set command too late for takeoff roll [H-1],Other subsystems trigger erroneous state transition [H-6],False
519,Autobrake Controller does not provide Brake command during emergency landing [H-3],BSCU Disarm command is issued before landing completion [H-2],False
520,Other subsystems receive erroneous Manual Controls causing hazard [H-6],Autobrake deceleration rate change too late for necessary correction [H-1],False
521,"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",Other subsystems trigger erroneous state transition [H-6],True
