,scenario_0,scenario_1,equality
301,Structural failure of aircraft wing results in loss of airframe integrity. [H-2],"Wet runway impacts braking efficiency, causing deceleration issues. [H-4.1]",False
302,"Crew misinterprets autobrake feedback, delaying power-off decision. [H-4.1]",Failure in autobrake controller logic leads to brake application error during landing. [H-4.1],True
303,Terrain detection issue causes aircraft to drift too close to a mountain. [H-6],Brake command transmission delay due to network congestion causes late brake application. [H-4.1],False
304,Tire burst during landing roll causes deviation from runway. [H-3],Weather-induced loss of control disrupts mission timeline. [H-4],False
305,Autobrake controller incorrectly activates in normal takeoff scenario. [H-4.3],BSCU software error causes braking delay beyond specified time after touchdown. [H-4.1],True
306,Crew intervention in normal braking leads to unnecessary power-off of BSCU. [H-4.1],Crew’s failure to acknowledge sensor alerts results in delay in power-off action. [H-4.1],True
307,Hydraulic leak prevents adequate brake pressure application. [H-4.1],In-flight control system reset results in temporary loss of navigation capabilities. [H-4],False
308,Crew's incorrect power-off decision causes unnecessary brake failure. [H-4.1],Hydraulic failure leads to asymmetric brake application. [H-4.2],False
309,Hydraulic leak prevents adequate brake pressure application. [H-4.1],Ground radar failure results in aircraft collision with ground object. [H-4],False
310,"Sensor misalignment reports incorrect ground proximity, leading to hazards. [H-4]","Wind shear encounter causes deviation from flight path, compromising separation. [H-1]",False
311,BSCU software error causes braking delay beyond specified time after touchdown. [H-4.1],"Sensor misalignment reports incorrect ground proximity, leading to hazards. [H-4]",False
312,Satellite communication error prevents scientific data collection. [H-5],"Inadequate runway friction leads to extended landing roll, risking safety. [H-4.1]",False
313,In-flight control system reset results in temporary loss of navigation capabilities. [H-4],"BSCU fails to disarm post-landing, resulting in abrupt brake engagement. [H-4.1]",False
314,Crew's incorrect power-off decision causes unnecessary brake failure. [H-4.1],Failure in autobrake controller logic leads to brake application error during landing. [H-4.1],True
315,"Cargo aircraft inadvertently releases cargo mid-flight, violating separation standards. [H-1]","Sensor misalignment reports incorrect ground proximity, leading to hazards. [H-4]",False
316,Crew's incorrect power-off decision causes unnecessary brake failure. [H-4.1],"Sensor failure misindicates aircraft stop, halting brake application prematurely. [H-4.1]",False
317,Late feedback to BSCU results in delayed braking upon touchdown. [H-4.1],Hydraulic leak prevents adequate brake pressure application. [H-4.1],True
318,"Miscommunication between crew and BSCU, failing to apply brakes during landing roll. [H-4.1]","Wind shear encounter causes deviation from flight path, compromising separation. [H-1]",False
319,BSCU software error causes braking delay beyond specified time after touchdown. [H-4.1],Failure in autobrake controller logic leads to brake application error during landing. [H-4.1],True
320,Structural failure of aircraft wing results in loss of airframe integrity. [H-2],UAV’s data link failure leads to incomplete surveillance mission. [H-7],False
321,Malfunction in UAV’s navigation system prevents mission completion. [H-7],Crew ignores braking system warnings due to unclear procedures. [H-4.1],False
322,Asymmetrical braking applied due to hydraulic system imbalance. [H-4.2],BSCU manual override misinterpretation fails to apply necessary braking. [H-4.1],True
323,BSCU software error causes braking delay beyond specified time after touchdown. [H-4.1],"BSCU fails to disarm post-landing, resulting in abrupt brake engagement. [H-4.1]",True
324,Brake command transmission delay due to network congestion causes late brake application. [H-4.1],Software crash causes temporary loss of satellite data acquisition capabilities. [H-5],False
325,Malfunction in UAV’s navigation system prevents mission completion. [H-7],Crew's incorrect power-off decision causes unnecessary brake failure. [H-4.1],False
326,"Wet runway impacts braking efficiency, causing deceleration issues. [H-4.1]",Failure in autobrake controller logic leads to brake application error during landing. [H-4.1],True
327,"Sensor failure misindicates aircraft stop, halting brake application prematurely. [H-4.1]",Hydraulic leak prevents adequate brake pressure application. [H-4.1],True
328,Terrain detection issue causes aircraft to drift too close to a mountain. [H-6],BSCU software error causes braking delay beyond specified time after touchdown. [H-4.1],False
329,Aircraft taxiing system error causes deviation from designated taxiway. [H-3],Crew's late response to abnormal WBS handling results in safety compromise. [H-4.1],False
330,"Inadequate runway friction leads to extended landing roll, risking safety. [H-4.1]",Pilot error in thrust control leads to unsafe proximity to terrain during descent. [H-6],False
331,Power surge in BSCU disrupts normal braking sequence. [H-4.1],Brake command transmission delay due to network congestion causes late brake application. [H-4.1],False
332,Brake system power-off too early interrupting necessary deceleration. [H-4.1],"Sensor misalignment reports incorrect ground proximity, leading to hazards. [H-4]",False
333,Aircraft taxiing system error causes deviation from designated taxiway. [H-3],GPS failure results in UAV deviating from mission path. [H-4],True
334,Terrain detection issue causes aircraft to drift too close to a mountain. [H-6],"Wind shear encounter causes deviation from flight path, compromising separation. [H-1]",False
335,"Miscommunication between crew and BSCU, failing to apply brakes during landing roll. [H-4.1]",Tire burst during landing roll causes deviation from runway. [H-3],False
336,Structural failure of aircraft wing results in loss of airframe integrity. [H-2],Communication lag leads to failure in timely satellite repositioning for data collection. [H-5],False
337,Communication lag leads to failure in timely satellite repositioning for data collection. [H-5],Hydraulic control failure results in insufficient braking power application. [H-4.1],False
338,GPS failure results in UAV deviating from mission path. [H-4],Late crew response to autobrake anomaly leads to braking inefficiencies. [H-4.1],True
339,Autobrake controller incorrectly activates in normal takeoff scenario. [H-4.3],"Sensor failure misindicates aircraft stop, halting brake application prematurely. [H-4.1]",False
340,Ground proximity system failure leads to aircraft nearing other ground objects. [H-4],"Miscommunication between crew and BSCU, failing to apply brakes during landing roll. [H-4.1]",True
341,Failure in autobrake controller logic leads to brake application error during landing. [H-4.1],Late crew response to autobrake anomaly leads to braking inefficiencies. [H-4.1],True
342,"Aircraft navigation error leads to unanticipated altitude drop, risking separation. [H-1]",BSCU manual override misinterpretation fails to apply necessary braking. [H-4.1],False
343,"Aircraft autopilot malfunctions mid-flight, leading to loss of minimum separation standards. [H-1]",Crew intervention in normal braking leads to unnecessary power-off of BSCU. [H-4.1],False
344,GPS failure results in UAV deviating from mission path. [H-4],Nuclear plant valve malfunction results in unchecked material release. [H-8],True
345,"Sensor failure misindicates aircraft stop, halting brake application prematurely. [H-4.1]",Software crash causes temporary loss of satellite data acquisition capabilities. [H-5],False
346,Ground proximity system failure leads to aircraft nearing other ground objects. [H-4],BSCU software error causes braking delay beyond specified time after touchdown. [H-4.1],False
347,"Crew misinterprets autobrake feedback, delaying power-off decision. [H-4.1]",Tire burst during landing roll causes deviation from runway. [H-3],False
348,"Sensor misalignment reports incorrect ground proximity, leading to hazards. [H-4]",Ground radar failure results in aircraft collision with ground object. [H-4],True
349,Autopilot disengagement error results in improper descent path. [H-6],In-flight control system reset results in temporary loss of navigation capabilities. [H-4],False
350,Autobrake system erroneously applies breaks during takeoff. [H-4.3],Weather-induced loss of control disrupts mission timeline. [H-4],False
351,"Aircraft autopilot malfunctions mid-flight, leading to loss of minimum separation standards. [H-1]","Aircraft navigation error leads to unanticipated altitude drop, risking separation. [H-1]",True
352,Crew's incorrect power-off decision causes unnecessary brake failure. [H-4.1],Autopilot disengagement error results in improper descent path. [H-6],False
353,Structural failure of aircraft wing results in loss of airframe integrity. [H-2],Actuator delay results in insufficient braking force during landing. [H-4.1],False
354,Pilot error in thrust control leads to unsafe proximity to terrain during descent. [H-6],Crew’s failure to acknowledge sensor alerts results in delay in power-off action. [H-4.1],True
355,Terrain detection issue causes aircraft to drift too close to a mountain. [H-6],"Crew misinterprets autobrake feedback, delaying power-off decision. [H-4.1]",False
356,Control system failure at nuclear plant leads to dangerous material release. [H-8],Software crash causes temporary loss of satellite data acquisition capabilities. [H-5],False
357,Crew's incorrect power-off decision causes unnecessary brake failure. [H-4.1],Hydraulic leak prevents adequate brake pressure application. [H-4.1],False
358,Malfunction in UAV’s navigation system prevents mission completion. [H-7],Software crash causes temporary loss of satellite data acquisition capabilities. [H-5],False
359,Aircraft taxiing system error causes deviation from designated taxiway. [H-3],Actuator delay results in insufficient braking force during landing. [H-4.1],False
360,Late feedback to BSCU results in delayed braking upon touchdown. [H-4.1],"Sensor misalignment reports incorrect ground proximity, leading to hazards. [H-4]",True
361,"Wet runway impacts braking efficiency, causing deceleration issues. [H-4.1]","Inadequate runway friction leads to extended landing roll, risking safety. [H-4.1]",True
362,Hydraulic failure leads to asymmetric brake application. [H-4.2],In-flight control system reset results in temporary loss of navigation capabilities. [H-4],False
363,"Wind shear encounter causes deviation from flight path, compromising separation. [H-1]",Communication lag leads to failure in timely satellite repositioning for data collection. [H-5],False
364,Structural failure of aircraft wing results in loss of airframe integrity. [H-2],Autobrake controller incorrectly activates in normal takeoff scenario. [H-4.3],False
365,Malfunction in UAV’s navigation system prevents mission completion. [H-7],Actuator delay results in insufficient braking force during landing. [H-4.1],True
366,Asymmetrical braking applied due to hydraulic system imbalance. [H-4.2],Communication lag leads to failure in timely satellite repositioning for data collection. [H-5],False
367,"Wet runway impacts braking efficiency, causing deceleration issues. [H-4.1]",Nuclear plant valve malfunction results in unchecked material release. [H-8],False
368,Terrain detection issue causes aircraft to drift too close to a mountain. [H-6],Autobrake system erroneously applies breaks during takeoff. [H-4.3],False
369,Crew ignores braking system warnings due to unclear procedures. [H-4.1],BSCU software error causes braking delay beyond specified time after touchdown. [H-4.1],True
370,"Aircraft autopilot malfunctions mid-flight, leading to loss of minimum separation standards. [H-1]",Asymmetrical braking applied due to hydraulic system imbalance. [H-4.2],False
371,"Wet runway impacts braking efficiency, causing deceleration issues. [H-4.1]",Pilot error in thrust control leads to unsafe proximity to terrain during descent. [H-6],False
372,Asymmetrical braking applied due to hydraulic system imbalance. [H-4.2],"Crew misinterprets autobrake feedback, delaying power-off decision. [H-4.1]",False
373,"Wind shear encounter causes deviation from flight path, compromising separation. [H-1]",Early termination of brake command resulting in extended runway use. [H-4.1],False
374,Nuclear plant valve malfunction results in unchecked material release. [H-8],Brake command transmission delay due to network congestion causes late brake application. [H-4.1],False
375,Ground proximity system failure leads to aircraft nearing other ground objects. [H-4],GPS failure results in UAV deviating from mission path. [H-4],True
376,Crew's incorrect power-off decision causes unnecessary brake failure. [H-4.1],Asymmetrical braking applied due to hydraulic system imbalance. [H-4.2],False
377,Autopilot disengagement error results in improper descent path. [H-6],"BSCU fails to disarm post-landing, resulting in abrupt brake engagement. [H-4.1]",False
378,Terrain detection issue causes aircraft to drift too close to a mountain. [H-6],Communication lag leads to failure in timely satellite repositioning for data collection. [H-5],False
379,Structural failure of aircraft wing results in loss of airframe integrity. [H-2],BSCU software error causes braking delay beyond specified time after touchdown. [H-4.1],False
380,"Sensor failure misindicates aircraft stop, halting brake application prematurely. [H-4.1]",Crew’s failure to acknowledge sensor alerts results in delay in power-off action. [H-4.1],True
381,"Sensor failure misindicates aircraft stop, halting brake application prematurely. [H-4.1]",Crew's late response to abnormal WBS handling results in safety compromise. [H-4.1],True
382,Late feedback to BSCU results in delayed braking upon touchdown. [H-4.1],Power surge in BSCU disrupts normal braking sequence. [H-4.1],True
383,Hydraulic failure leads to asymmetric brake application. [H-4.2],Pilot error in thrust control leads to unsafe proximity to terrain during descent. [H-6],False
384,Ground proximity system failure leads to aircraft nearing other ground objects. [H-4],Crew’s failure to acknowledge sensor alerts results in delay in power-off action. [H-4.1],False
385,Satellite communication error prevents scientific data collection. [H-5],Ground radar failure results in aircraft collision with ground object. [H-4],True
386,"Sensor failure misindicates aircraft stop, halting brake application prematurely. [H-4.1]","Aircraft navigation error leads to unanticipated altitude drop, risking separation. [H-1]",False
387,Hydraulic control failure results in insufficient braking power application. [H-4.1],Early termination of brake command resulting in extended runway use. [H-4.1],True
388,Malfunction in UAV’s navigation system prevents mission completion. [H-7],Tire burst during landing roll causes deviation from runway. [H-3],False
389,Brake system power-off too early interrupting necessary deceleration. [H-4.1],Asymmetrical braking applied due to hydraulic system imbalance. [H-4.2],True
390,Hydraulic control failure results in insufficient braking power application. [H-4.1],Ground radar failure results in aircraft collision with ground object. [H-4],True
391,Actuator delay results in insufficient braking force during landing. [H-4.1],Communication lag leads to failure in timely satellite repositioning for data collection. [H-5],False
392,Actuator delay results in insufficient braking force during landing. [H-4.1],"Cargo aircraft inadvertently releases cargo mid-flight, violating separation standards. [H-1]",False
393,Crew intervention in normal braking leads to unnecessary power-off of BSCU. [H-4.1],Weather-induced loss of control disrupts mission timeline. [H-4],False
394,UAV’s data link failure leads to incomplete surveillance mission. [H-7],Power surge in BSCU disrupts normal braking sequence. [H-4.1],True
395,Aircraft taxiing system error causes deviation from designated taxiway. [H-3],Autobrake system erroneously applies breaks during takeoff. [H-4.3],False
396,"Aircraft autopilot malfunctions mid-flight, leading to loss of minimum separation standards. [H-1]",Brake command transmission delay due to network congestion causes late brake application. [H-4.1],True
397,Brake system power-off too early interrupting necessary deceleration. [H-4.1],Pilot error in thrust control leads to unsafe proximity to terrain during descent. [H-6],False
398,"Aircraft autopilot malfunctions mid-flight, leading to loss of minimum separation standards. [H-1]","Wet runway impacts braking efficiency, causing deceleration issues. [H-4.1]",False
399,Satellite communication error prevents scientific data collection. [H-5],"BSCU fails to disarm post-landing, resulting in abrupt brake engagement. [H-4.1]",False
400,"Miscommunication between crew and BSCU, failing to apply brakes during landing roll. [H-4.1]",Ground radar failure results in aircraft collision with ground object. [H-4],False
401,Power surge in BSCU disrupts normal braking sequence. [H-4.1],In-flight control system reset results in temporary loss of navigation capabilities. [H-4],False
402,Malfunction in UAV’s navigation system prevents mission completion. [H-7],"BSCU fails to disarm post-landing, resulting in abrupt brake engagement. [H-4.1]",True
403,"Crew misinterprets autobrake feedback, delaying power-off decision. [H-4.1]","Sensor misalignment reports incorrect ground proximity, leading to hazards. [H-4]",True
404,"Aircraft autopilot malfunctions mid-flight, leading to loss of minimum separation standards. [H-1]","Sensor failure misindicates aircraft stop, halting brake application prematurely. [H-4.1]",True
405,Brake command transmission delay due to network congestion causes late brake application. [H-4.1],Failure in autobrake controller logic leads to brake application error during landing. [H-4.1],True
406,Pilot error in thrust control leads to unsafe proximity to terrain during descent. [H-6],Software crash causes temporary loss of satellite data acquisition capabilities. [H-5],False
407,Autobrake controller incorrectly activates in normal takeoff scenario. [H-4.3],Brake command transmission delay due to network congestion causes late brake application. [H-4.1],False
408,"Wind shear encounter causes deviation from flight path, compromising separation. [H-1]",Autopilot disengagement error results in improper descent path. [H-6],False
409,Software crash causes temporary loss of satellite data acquisition capabilities. [H-5],Ground radar failure results in aircraft collision with ground object. [H-4],False
410,Satellite communication error prevents scientific data collection. [H-5],"Crew misinterprets autobrake feedback, delaying power-off decision. [H-4.1]",False
411,UAV’s data link failure leads to incomplete surveillance mission. [H-7],BSCU manual override misinterpretation fails to apply necessary braking. [H-4.1],False
412,"Sensor misalignment reports incorrect ground proximity, leading to hazards. [H-4]",BSCU manual override misinterpretation fails to apply necessary braking. [H-4.1],False
413,Hydraulic leak prevents adequate brake pressure application. [H-4.1],BSCU software error causes braking delay beyond specified time after touchdown. [H-4.1],False
414,Autobrake system erroneously applies breaks during takeoff. [H-4.3],In-flight control system reset results in temporary loss of navigation capabilities. [H-4],False
415,Crew's incorrect power-off decision causes unnecessary brake failure. [H-4.1],"Crew misinterprets autobrake feedback, delaying power-off decision. [H-4.1]",True
416,Control system failure at nuclear plant leads to dangerous material release. [H-8],Autobrake controller incorrectly activates in normal takeoff scenario. [H-4.3],False
417,Autobrake controller incorrectly activates in normal takeoff scenario. [H-4.3],"Sensor misalignment reports incorrect ground proximity, leading to hazards. [H-4]",False
418,Satellite communication error prevents scientific data collection. [H-5],Tire burst during landing roll causes deviation from runway. [H-3],True
419,Malfunction in UAV’s navigation system prevents mission completion. [H-7],Communication lag leads to failure in timely satellite repositioning for data collection. [H-5],True
420,Ground proximity system failure leads to aircraft nearing other ground objects. [H-4],Pilot error in thrust control leads to unsafe proximity to terrain during descent. [H-6],False
421,"Wet runway impacts braking efficiency, causing deceleration issues. [H-4.1]",Hydraulic failure leads to asymmetric brake application. [H-4.2],True
422,Crew's incorrect power-off decision causes unnecessary brake failure. [H-4.1],UAV’s data link failure leads to incomplete surveillance mission. [H-7],True
423,Late feedback to BSCU results in delayed braking upon touchdown. [H-4.1],Failure in autobrake controller logic leads to brake application error during landing. [H-4.1],True
424,Failure in autobrake controller logic leads to brake application error during landing. [H-4.1],Hydraulic control failure results in insufficient braking power application. [H-4.1],True
425,Autobrake controller incorrectly activates in normal takeoff scenario. [H-4.3],BSCU manual override misinterpretation fails to apply necessary braking. [H-4.1],False
426,Power surge in BSCU disrupts normal braking sequence. [H-4.1],Crew’s failure to acknowledge sensor alerts results in delay in power-off action. [H-4.1],False
427,Hydraulic failure leads to asymmetric brake application. [H-4.2],Power surge in BSCU disrupts normal braking sequence. [H-4.1],False
428,Satellite communication error prevents scientific data collection. [H-5],In-flight control system reset results in temporary loss of navigation capabilities. [H-4],False
429,"Miscommunication between crew and BSCU, failing to apply brakes during landing roll. [H-4.1]",Brake system power-off too early interrupting necessary deceleration. [H-4.1],True
430,Tire burst during landing roll causes deviation from runway. [H-3],Late crew response to autobrake anomaly leads to braking inefficiencies. [H-4.1],False
431,Satellite communication error prevents scientific data collection. [H-5],Hydraulic control failure results in insufficient braking power application. [H-4.1],False
432,UAV’s data link failure leads to incomplete surveillance mission. [H-7],Late crew response to autobrake anomaly leads to braking inefficiencies. [H-4.1],False
433,GPS failure results in UAV deviating from mission path. [H-4],Crew's late response to abnormal WBS handling results in safety compromise. [H-4.1],True
434,Control system failure at nuclear plant leads to dangerous material release. [H-8],"Cargo aircraft inadvertently releases cargo mid-flight, violating separation standards. [H-1]",False
435,Ground proximity system failure leads to aircraft nearing other ground objects. [H-4],Crew's late response to abnormal WBS handling results in safety compromise. [H-4.1],True
436,Crew ignores braking system warnings due to unclear procedures. [H-4.1],Crew's incorrect power-off decision causes unnecessary brake failure. [H-4.1],False
437,"Sensor misalignment reports incorrect ground proximity, leading to hazards. [H-4]",In-flight control system reset results in temporary loss of navigation capabilities. [H-4],False
438,Asymmetrical braking applied due to hydraulic system imbalance. [H-4.2],UAV’s data link failure leads to incomplete surveillance mission. [H-7],False
439,Actuator delay results in insufficient braking force during landing. [H-4.1],Hydraulic control failure results in insufficient braking power application. [H-4.1],True
440,Asymmetrical braking applied due to hydraulic system imbalance. [H-4.2],"Wet runway impacts braking efficiency, causing deceleration issues. [H-4.1]",False
441,"Wet runway impacts braking efficiency, causing deceleration issues. [H-4.1]",Brake command transmission delay due to network congestion causes late brake application. [H-4.1],True
442,Late feedback to BSCU results in delayed braking upon touchdown. [H-4.1],Autobrake system erroneously applies breaks during takeoff. [H-4.3],False
443,Brake system power-off too early interrupting necessary deceleration. [H-4.1],Weather-induced loss of control disrupts mission timeline. [H-4],False
444,BSCU manual override misinterpretation fails to apply necessary braking. [H-4.1],Late crew response to autobrake anomaly leads to braking inefficiencies. [H-4.1],True
445,Autobrake system erroneously applies breaks during takeoff. [H-4.3],Power surge in BSCU disrupts normal braking sequence. [H-4.1],False
446,Crew's late response to abnormal WBS handling results in safety compromise. [H-4.1],Ground radar failure results in aircraft collision with ground object. [H-4],False
447,Hydraulic leak prevents adequate brake pressure application. [H-4.1],Autopilot disengagement error results in improper descent path. [H-6],False
448,"Wet runway impacts braking efficiency, causing deceleration issues. [H-4.1]",Crew's late response to abnormal WBS handling results in safety compromise. [H-4.1],False
449,Nuclear plant valve malfunction results in unchecked material release. [H-8],"Crew misinterprets autobrake feedback, delaying power-off decision. [H-4.1]",False
450,Hydraulic leak prevents adequate brake pressure application. [H-4.1],Hydraulic control failure results in insufficient braking power application. [H-4.1],True
451,Terrain detection issue causes aircraft to drift too close to a mountain. [H-6],Failure in autobrake controller logic leads to brake application error during landing. [H-4.1],False
452,Late feedback to BSCU results in delayed braking upon touchdown. [H-4.1],Autobrake controller incorrectly activates in normal takeoff scenario. [H-4.3],False
453,Crew ignores braking system warnings due to unclear procedures. [H-4.1],Autopilot disengagement error results in improper descent path. [H-6],False
454,Crew ignores braking system warnings due to unclear procedures. [H-4.1],"Crew misinterprets autobrake feedback, delaying power-off decision. [H-4.1]",True
455,Control system failure at nuclear plant leads to dangerous material release. [H-8],Pilot error in thrust control leads to unsafe proximity to terrain during descent. [H-6],False
456,Terrain detection issue causes aircraft to drift too close to a mountain. [H-6],"Inadequate runway friction leads to extended landing roll, risking safety. [H-4.1]",False
457,"Sensor failure misindicates aircraft stop, halting brake application prematurely. [H-4.1]",Nuclear plant valve malfunction results in unchecked material release. [H-8],False
458,Ground proximity system failure leads to aircraft nearing other ground objects. [H-4],In-flight control system reset results in temporary loss of navigation capabilities. [H-4],False
459,Hydraulic failure leads to asymmetric brake application. [H-4.2],"Aircraft navigation error leads to unanticipated altitude drop, risking separation. [H-1]",False
460,Crew ignores braking system warnings due to unclear procedures. [H-4.1],"Cargo aircraft inadvertently releases cargo mid-flight, violating separation standards. [H-1]",False
461,BSCU software error causes braking delay beyond specified time after touchdown. [H-4.1],In-flight control system reset results in temporary loss of navigation capabilities. [H-4],True
462,Asymmetrical braking applied due to hydraulic system imbalance. [H-4.2],Autobrake system erroneously applies breaks during takeoff. [H-4.3],False
463,UAV’s data link failure leads to incomplete surveillance mission. [H-7],Hydraulic failure leads to asymmetric brake application. [H-4.2],True
464,Crew ignores braking system warnings due to unclear procedures. [H-4.1],Nuclear plant valve malfunction results in unchecked material release. [H-8],False
465,Autopilot disengagement error results in improper descent path. [H-6],Tire burst during landing roll causes deviation from runway. [H-3],False
466,Ground proximity system failure leads to aircraft nearing other ground objects. [H-4],Late crew response to autobrake anomaly leads to braking inefficiencies. [H-4.1],True
467,Late feedback to BSCU results in delayed braking upon touchdown. [H-4.1],Asymmetrical braking applied due to hydraulic system imbalance. [H-4.2],False
468,Hydraulic leak prevents adequate brake pressure application. [H-4.1],Late crew response to autobrake anomaly leads to braking inefficiencies. [H-4.1],True
469,Aircraft taxiing system error causes deviation from designated taxiway. [H-3],Ground radar failure results in aircraft collision with ground object. [H-4],False
470,Actuator delay results in insufficient braking force during landing. [H-4.1],BSCU software error causes braking delay beyond specified time after touchdown. [H-4.1],True
471,"Crew misinterprets autobrake feedback, delaying power-off decision. [H-4.1]",Weather-induced loss of control disrupts mission timeline. [H-4],False
472,Late feedback to BSCU results in delayed braking upon touchdown. [H-4.1],Late crew response to autobrake anomaly leads to braking inefficiencies. [H-4.1],True
473,"Aircraft autopilot malfunctions mid-flight, leading to loss of minimum separation standards. [H-1]","Inadequate runway friction leads to extended landing roll, risking safety. [H-4.1]",True
474,Brake system power-off too early interrupting necessary deceleration. [H-4.1],GPS failure results in UAV deviating from mission path. [H-4],False
475,Late feedback to BSCU results in delayed braking upon touchdown. [H-4.1],Weather-induced loss of control disrupts mission timeline. [H-4],False
476,Ground proximity system failure leads to aircraft nearing other ground objects. [H-4],Communication lag leads to failure in timely satellite repositioning for data collection. [H-5],False
477,Autobrake system erroneously applies breaks during takeoff. [H-4.3],Crew's late response to abnormal WBS handling results in safety compromise. [H-4.1],False
478,Aircraft taxiing system error causes deviation from designated taxiway. [H-3],Ground proximity system failure leads to aircraft nearing other ground objects. [H-4],False
479,Control system failure at nuclear plant leads to dangerous material release. [H-8],Hydraulic leak prevents adequate brake pressure application. [H-4.1],False
480,Actuator delay results in insufficient braking force during landing. [H-4.1],Crew's late response to abnormal WBS handling results in safety compromise. [H-4.1],False
481,"Sensor misalignment reports incorrect ground proximity, leading to hazards. [H-4]",Failure in autobrake controller logic leads to brake application error during landing. [H-4.1],True
482,Weather-induced loss of control disrupts mission timeline. [H-4],Late crew response to autobrake anomaly leads to braking inefficiencies. [H-4.1],True
483,Terrain detection issue causes aircraft to drift too close to a mountain. [H-6],Autobrake controller incorrectly activates in normal takeoff scenario. [H-4.3],False
484,"Wind shear encounter causes deviation from flight path, compromising separation. [H-1]","BSCU fails to disarm post-landing, resulting in abrupt brake engagement. [H-4.1]",False
485,Late feedback to BSCU results in delayed braking upon touchdown. [H-4.1],"Crew misinterprets autobrake feedback, delaying power-off decision. [H-4.1]",True
486,Power surge in BSCU disrupts normal braking sequence. [H-4.1],Hydraulic control failure results in insufficient braking power application. [H-4.1],True
487,Terrain detection issue causes aircraft to drift too close to a mountain. [H-6],Crew intervention in normal braking leads to unnecessary power-off of BSCU. [H-4.1],False
488,Actuator delay results in insufficient braking force during landing. [H-4.1],"BSCU fails to disarm post-landing, resulting in abrupt brake engagement. [H-4.1]",False
489,Crew intervention in normal braking leads to unnecessary power-off of BSCU. [H-4.1],Brake command transmission delay due to network congestion causes late brake application. [H-4.1],True
490,"Cargo aircraft inadvertently releases cargo mid-flight, violating separation standards. [H-1]","BSCU fails to disarm post-landing, resulting in abrupt brake engagement. [H-4.1]",False
491,Nuclear plant valve malfunction results in unchecked material release. [H-8],Failure in autobrake controller logic leads to brake application error during landing. [H-4.1],False
492,"Cargo aircraft inadvertently releases cargo mid-flight, violating separation standards. [H-1]",Autopilot disengagement error results in improper descent path. [H-6],False
493,Aircraft taxiing system error causes deviation from designated taxiway. [H-3],"Miscommunication between crew and BSCU, failing to apply brakes during landing roll. [H-4.1]",False
494,Ground radar failure results in aircraft collision with ground object. [H-4],Late crew response to autobrake anomaly leads to braking inefficiencies. [H-4.1],True
495,"Aircraft autopilot malfunctions mid-flight, leading to loss of minimum separation standards. [H-1]",BSCU software error causes braking delay beyond specified time after touchdown. [H-4.1],True
496,UAV’s data link failure leads to incomplete surveillance mission. [H-7],"BSCU fails to disarm post-landing, resulting in abrupt brake engagement. [H-4.1]",False
497,Asymmetrical braking applied due to hydraulic system imbalance. [H-4.2],Actuator delay results in insufficient braking force during landing. [H-4.1],False
498,In-flight control system reset results in temporary loss of navigation capabilities. [H-4],Brake command transmission delay due to network congestion causes late brake application. [H-4.1],True
499,Power surge in BSCU disrupts normal braking sequence. [H-4.1],Communication lag leads to failure in timely satellite repositioning for data collection. [H-5],False
500,"Wind shear encounter causes deviation from flight path, compromising separation. [H-1]",Pilot error in thrust control leads to unsafe proximity to terrain during descent. [H-6],False
501,"Miscommunication between crew and BSCU, failing to apply brakes during landing roll. [H-4.1]",Communication lag leads to failure in timely satellite repositioning for data collection. [H-5],False
502,"Miscommunication between crew and BSCU, failing to apply brakes during landing roll. [H-4.1]",Crew's incorrect power-off decision causes unnecessary brake failure. [H-4.1],True
503,In-flight control system reset results in temporary loss of navigation capabilities. [H-4],Crew intervention in normal braking leads to unnecessary power-off of BSCU. [H-4.1],True
504,Crew's incorrect power-off decision causes unnecessary brake failure. [H-4.1],Crew’s failure to acknowledge sensor alerts results in delay in power-off action. [H-4.1],False
505,Late feedback to BSCU results in delayed braking upon touchdown. [H-4.1],GPS failure results in UAV deviating from mission path. [H-4],True
506,UAV’s data link failure leads to incomplete surveillance mission. [H-7],Weather-induced loss of control disrupts mission timeline. [H-4],False
507,"Sensor misalignment reports incorrect ground proximity, leading to hazards. [H-4]","Aircraft navigation error leads to unanticipated altitude drop, risking separation. [H-1]",False
508,Terrain detection issue causes aircraft to drift too close to a mountain. [H-6],"Sensor failure misindicates aircraft stop, halting brake application prematurely. [H-4.1]",False
509,Autopilot disengagement error results in improper descent path. [H-6],Crew’s failure to acknowledge sensor alerts results in delay in power-off action. [H-4.1],False
510,Crew's incorrect power-off decision causes unnecessary brake failure. [H-4.1],Power surge in BSCU disrupts normal braking sequence. [H-4.1],True
511,Autobrake system erroneously applies breaks during takeoff. [H-4.3],"Aircraft navigation error leads to unanticipated altitude drop, risking separation. [H-1]",False
512,"Crew misinterprets autobrake feedback, delaying power-off decision. [H-4.1]",Pilot error in thrust control leads to unsafe proximity to terrain during descent. [H-6],False
513,Nuclear plant valve malfunction results in unchecked material release. [H-8],Power surge in BSCU disrupts normal braking sequence. [H-4.1],False
514,"Wet runway impacts braking efficiency, causing deceleration issues. [H-4.1]",BSCU manual override misinterpretation fails to apply necessary braking. [H-4.1],True
515,"Aircraft autopilot malfunctions mid-flight, leading to loss of minimum separation standards. [H-1]",Weather-induced loss of control disrupts mission timeline. [H-4],False
516,Aircraft taxiing system error causes deviation from designated taxiway. [H-3],Communication lag leads to failure in timely satellite repositioning for data collection. [H-5],False
